Scenario,ZPrior,MuPriorSD,SigmaOmegaPrior,Status,Divergences,ElapsedSeconds,TraceFile,TraceplotFile,TraceSaveWarning,Error
1,Beta_1_1_constrained,2,HalfCauchy_beta1,success,0,39.14245104789734,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\posterior_traces\scenario_1_Beta_1_1_constrained_mu2_sigmaHalfCauchy_beta1.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\traceplots\traceplot_scenario_1_Beta_1_1_constrained_mu2_sigmaHalfCauchy_beta1.png,,
2,Beta_1_1_constrained,2,HalfCauchy_beta2p5,success,0,37.55477809906006,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\posterior_traces\scenario_2_Beta_1_1_constrained_mu2_sigmaHalfCauchy_beta2p5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\traceplots\traceplot_scenario_2_Beta_1_1_constrained_mu2_sigmaHalfCauchy_beta2p5.png,,
3,Beta_1_1_constrained,2,HalfCauchy_beta5,success,0,38.76714754104614,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\posterior_traces\scenario_3_Beta_1_1_constrained_mu2_sigmaHalfCauchy_beta5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\traceplots\traceplot_scenario_3_Beta_1_1_constrained_mu2_sigmaHalfCauchy_beta5.png,,
4,Beta_1_1_constrained,2,HalfNormal_sigma2,success,0,36.41990828514099,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\posterior_traces\scenario_4_Beta_1_1_constrained_mu2_sigmaHalfNormal_sigma2.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\traceplots\traceplot_scenario_4_Beta_1_1_constrained_mu2_sigmaHalfNormal_sigma2.png,,
5,Beta_1_1_constrained,5,HalfCauchy_beta1,success,0,42.09103465080261,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\posterior_traces\scenario_5_Beta_1_1_constrained_mu5_sigmaHalfCauchy_beta1.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\traceplots\traceplot_scenario_5_Beta_1_1_constrained_mu5_sigmaHalfCauchy_beta1.png,,
6,Beta_1_1_constrained,5,HalfCauchy_beta2p5,success,0,37.74464464187622,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\posterior_traces\scenario_6_Beta_1_1_constrained_mu5_sigmaHalfCauchy_beta2p5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\traceplots\traceplot_scenario_6_Beta_1_1_constrained_mu5_sigmaHalfCauchy_beta2p5.png,,
7,Beta_1_1_constrained,5,HalfCauchy_beta5,success,0,36.34021878242493,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\posterior_traces\scenario_7_Beta_1_1_constrained_mu5_sigmaHalfCauchy_beta5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\traceplots\traceplot_scenario_7_Beta_1_1_constrained_mu5_sigmaHalfCauchy_beta5.png,,
8,Beta_1_1_constrained,5,HalfNormal_sigma2,success,0,38.673030376434326,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\posterior_traces\scenario_8_Beta_1_1_constrained_mu5_sigmaHalfNormal_sigma2.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\traceplots\traceplot_scenario_8_Beta_1_1_constrained_mu5_sigmaHalfNormal_sigma2.png,,
9,Beta_1_1_constrained,10,HalfCauchy_beta1,success,0,45.20394587516785,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\posterior_traces\scenario_9_Beta_1_1_constrained_mu10_sigmaHalfCauchy_beta1.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\traceplots\traceplot_scenario_9_Beta_1_1_constrained_mu10_sigmaHalfCauchy_beta1.png,,
10,Beta_1_1_constrained,10,HalfCauchy_beta2p5,success,0,41.983574867248535,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\posterior_traces\scenario_10_Beta_1_1_constrained_mu10_sigmaHalfCauchy_beta2p5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\traceplots\traceplot_scenario_10_Beta_1_1_constrained_mu10_sigmaHalfCauchy_beta2p5.png,,
11,Beta_1_1_constrained,10,HalfCauchy_beta5,success,0,39.88307023048401,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\posterior_traces\scenario_11_Beta_1_1_constrained_mu10_sigmaHalfCauchy_beta5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\traceplots\traceplot_scenario_11_Beta_1_1_constrained_mu10_sigmaHalfCauchy_beta5.png,,
12,Beta_1_1_constrained,10,HalfNormal_sigma2,success,0,42.18954396247864,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\posterior_traces\scenario_12_Beta_1_1_constrained_mu10_sigmaHalfNormal_sigma2.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\traceplots\traceplot_scenario_12_Beta_1_1_constrained_mu10_sigmaHalfNormal_sigma2.png,,
13,Beta_2_2_constrained,2,HalfCauchy_beta1,success,0,44.95133113861084,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\posterior_traces\scenario_13_Beta_2_2_constrained_mu2_sigmaHalfCauchy_beta1.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\traceplots\traceplot_scenario_13_Beta_2_2_constrained_mu2_sigmaHalfCauchy_beta1.png,,
14,Beta_2_2_constrained,2,HalfCauchy_beta2p5,success,0,43.20681285858154,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\posterior_traces\scenario_14_Beta_2_2_constrained_mu2_sigmaHalfCauchy_beta2p5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\traceplots\traceplot_scenario_14_Beta_2_2_constrained_mu2_sigmaHalfCauchy_beta2p5.png,,
15,Beta_2_2_constrained,2,HalfCauchy_beta5,success,0,41.98185634613037,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\posterior_traces\scenario_15_Beta_2_2_constrained_mu2_sigmaHalfCauchy_beta5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\traceplots\traceplot_scenario_15_Beta_2_2_constrained_mu2_sigmaHalfCauchy_beta5.png,,
16,Beta_2_2_constrained,2,HalfNormal_sigma2,success,0,39.49496245384216,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\posterior_traces\scenario_16_Beta_2_2_constrained_mu2_sigmaHalfNormal_sigma2.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\traceplots\traceplot_scenario_16_Beta_2_2_constrained_mu2_sigmaHalfNormal_sigma2.png,,
17,Beta_2_2_constrained,5,HalfCauchy_beta1,success,0,46.187825202941895,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\posterior_traces\scenario_17_Beta_2_2_constrained_mu5_sigmaHalfCauchy_beta1.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\traceplots\traceplot_scenario_17_Beta_2_2_constrained_mu5_sigmaHalfCauchy_beta1.png,,
18,Beta_2_2_constrained,5,HalfCauchy_beta2p5,success,0,41.96958661079407,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\posterior_traces\scenario_18_Beta_2_2_constrained_mu5_sigmaHalfCauchy_beta2p5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\traceplots\traceplot_scenario_18_Beta_2_2_constrained_mu5_sigmaHalfCauchy_beta2p5.png,,
19,Beta_2_2_constrained,5,HalfCauchy_beta5,success,0,41.722339153289795,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\posterior_traces\scenario_19_Beta_2_2_constrained_mu5_sigmaHalfCauchy_beta5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\traceplots\traceplot_scenario_19_Beta_2_2_constrained_mu5_sigmaHalfCauchy_beta5.png,,
20,Beta_2_2_constrained,5,HalfNormal_sigma2,success,0,40.35825729370117,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\posterior_traces\scenario_20_Beta_2_2_constrained_mu5_sigmaHalfNormal_sigma2.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\traceplots\traceplot_scenario_20_Beta_2_2_constrained_mu5_sigmaHalfNormal_sigma2.png,,
21,Beta_2_2_constrained,10,HalfCauchy_beta1,success,0,45.330443143844604,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\posterior_traces\scenario_21_Beta_2_2_constrained_mu10_sigmaHalfCauchy_beta1.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\traceplots\traceplot_scenario_21_Beta_2_2_constrained_mu10_sigmaHalfCauchy_beta1.png,,
22,Beta_2_2_constrained,10,HalfCauchy_beta2p5,success,0,42.469682931900024,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\posterior_traces\scenario_22_Beta_2_2_constrained_mu10_sigmaHalfCauchy_beta2p5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\traceplots\traceplot_scenario_22_Beta_2_2_constrained_mu10_sigmaHalfCauchy_beta2p5.png,,
23,Beta_2_2_constrained,10,HalfCauchy_beta5,success,0,40.7860369682312,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\posterior_traces\scenario_23_Beta_2_2_constrained_mu10_sigmaHalfCauchy_beta5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\traceplots\traceplot_scenario_23_Beta_2_2_constrained_mu10_sigmaHalfCauchy_beta5.png,,
24,Beta_2_2_constrained,10,HalfNormal_sigma2,success,0,39.937647104263306,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\posterior_traces\scenario_24_Beta_2_2_constrained_mu10_sigmaHalfNormal_sigma2.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\traceplots\traceplot_scenario_24_Beta_2_2_constrained_mu10_sigmaHalfNormal_sigma2.png,,
